Entity,Parent,Region,Currency,GDP,Population,Area,Density,Ratio
SLOVAKIA,SLOVAKIA,Europe,EUR,31900,5795199,18933.0,310.0,1.000670653328117
CROATIA,CROATIA,Europe,EUR,31600,4008617,21851.0,180.0,0.971842228399989
TURKEY,TURKEY,Asia,TRY,31500,85816199,302535.0,280.0,0.9904509451008131
NEW CALEDONIA,FRANCE,Oceania,XPF,31100,292991,7400.0,39.0,0.8495575221238938
ROMANIA,ROMANIA,Europe,RON,30800,19892812,92046.0,210.0,0.8774989398437026
BAHAMAS,BAHAMAS,Americas,BSD,30200,412624,5380.0,78.0,0.6502843216896832
GREECE,GREECE,Europe,EUR,29500,10341277,50949.0,200.0,0.8453521616505042
PANAMA,PANAMA,Americas,PAB,29000,4468087,29080.0,150.0,1.1059812401023268
SEYCHELLES,SEYCHELLES,Africa,SCR,28800,107660,176.0,610.0,0.9615595826468973
RUSSIA,RUSSIA,Europe,RUB,28000,144444359,6601670.0,21.0,1.4476624371293891
SAINT KITTS AND NEVIS,SAINT KITTS AND NEVIS,Americas,XCD,26500,47755,101.0,470.0,0.9258350106076266
MALAYSIA,MALAYSIA,Asia,MYR,26300,34308525,127653.0,270.0,1.1149973065494292
KAZAKHSTAN,KAZAKHSTAN,Asia,KZT,26100,19606634,1052091.0,18.0,1.3442556305390683
CHILE,CHILE,Americas,CLP,25400,19629590,291933.0,67.0,0.985776698078091
NORTHERN MARIANA ISLANDS,UNITED STATES,Oceania,USD,24500,49796,176.0,280.0,1.0235162374020157
BULGARIA,BULGARIA,Europe,BGN,24400,6687717,42615.0,160.0,1.0288859146207474
TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO,Americas,TTD,23000,1534937,1980.0,770.0,1.3346135940409682
URUGUAY,URUGUAY,Americas,UYU,22800,3423109,67037.0,52.0,1.2504152548003455
LIBYA,LIBYA,Africa,LYD,22000,6888388,647184.0,10.0,0.665341146923399
GUYANA,GUYANA,Americas,GYD,21900,813834,83000.0,10.0,0.7018605354711844
ARGENTINA,ARGENTINA,Americas,ARS,21500,45773884,1079707.0,41.0,1.208023548271192
COSTA RICA,COSTA RICA,Americas,CRC,21200,5212173,19700.0,260.0,1.0656112655843573
MAURITIUS,MAURITIUS,Africa,MUR,21000,1300557,764.0,1700.0,0.5258138770141401
CURACAO,NETHERLANDS,Americas,ANG,20800,192077,171.0,1120.0,0.6684073107049608
MONTENEGRO,MONTENEGRO,Europe,EUR,20600,626485,5362.0,120.0,0.6879296123178443
SERBIA,SERBIA,Europe,RSD,19800,7149077,34148.0,210.0,0.863905325443787
BELARUS,BELARUS,Europe,BYN,19800,9498238,80200.0,120.0,1.0872434501418862
SAINT MARTIN,FRANCE,Americas,EUR,19300,32077,20.0,1600.0,0.044801512287334595
ANTIGUA AND BARBUDA,ANTIGUA AND BARBUDA,Americas,XCD,19100,94298,171.0,550.0,0.862659516549896
MEXICO,MEXICO,Americas,MXN,19100,128455567,758449.0,170.0,0.9586655946192029
